order_id,order_date,customer_info,customer_age,location,device_type,items,payment_method,currency,discount_code,shipping_cost,total_amount,order_status,loyalty_points,feedback_score
TXN-102225,2025-12-07T13:55:41.715113,"{""name"": ""Benjamin Bond"", ""email"": ""raymond66@example.org"", ""phone"": ""5772507137""}",39,Bestmouth,Mobile,"[{""product_id"": ""PRD-988"", ""category"": ""Electronics"", ""price"": 423.91, ""quantity"": 2}, {""product_id"": ""PRD-664"", ""category"": ""Home & Kitchen"", ""price"": 293.35, ""quantity"": 2}, {""product_id"": ""PRD-274"", ""category"": ""Electronics"", ""price"": 337.92, ""quantity"": 3}]",COD,USD,,14.79,2456.83,Failed,244,99.0
TXN-101247,2025-11-24T01:26:33.664607,"{""name"": ""Matthew Mclean"", ""email"": ""rebecca67@example.net"", ""phone"": ""(648)317-0632x2686""}",49,South Abigailmouth,Mobile,"[{""product_id"": ""PRD-311"", ""category"": ""Books"", ""price"": 16.8, ""quantity"": 3}]",Credit Card,USD,,8.42,61.65,Failed,5,2.0
TXN-100506,2024-11-15T02:21:20.886707,"{""name"": ""Daniel Thompson"", ""email"": ""snyderemily@example.net"", ""phone"": ""+1-625-784-1011""}",37,Christopherhaven,,"[{""product_id"": ""PRD-710"", ""category"": ""Clothing"", ""price"": 32.02, ""quantity"": 3}, {""product_id"": ""PRD-140"", ""category"": ""Clothing"", ""price"": 37.21, ""quantity"": 2}]",PayPal,USD,,6.07,185.81,Completed,17,
TXN-102982,2024-05-07T17:51:22.320457,"{""name"": ""Lisa Marquez"", ""email"": ""coreyleonard@example.net"", ""phone"": ""001-347-525-8645""}",24,New Derekside,,"[{""product_id"": ""PRD-870"", ""category"": ""Sports"", ""price"": 117.49, ""quantity"": 3}, {""product_id"": ""PRD-446"", ""category"": ""Clothing"", ""price"": 148.14, ""quantity"": 3}, {""product_id"": ""PRD-207"", ""category"": ""Sports"", ""price"": 305.9, ""quantity"": 1}]",COD,USD,QJ10,8.16,1108.94,Pending,110,4.0
TXN-102968,07/11/2024 08:50,"{""name"": ""Jamie Gray"", ""email"": ""cabreranicole@example.net"", ""phone"": ""2944073283""}",43,New Michael,,"[{""product_id"": ""PRD-248"", ""category"": ""Sports"", ""price"": 458.06, ""quantity"": 2}, {""product_id"": ""PRD-474"", ""category"": ""Books"", ""price"": 375.93, ""quantity"": 2}, {""product_id"": ""PRD-845"", ""category"": ""Books"", ""price"": 134.42, ""quantity"": 3}]",CREDITCARD,USD,,8.5,2076.63,Pending,207,99.0
TXN-100223,2024-01-10T10:18:40.481122,"{""name"": ""Russell Mckinney"", ""email"": ""beckycompton@example.org"", ""phone"": ""396-269-4640""}",27,Petersville,,"[{""product_id"": ""PRD-419"", ""category"": ""Clothing"", ""price"": 343.83, ""quantity"": 2}, {""product_id"": ""PRD-833"", ""category"": ""Books"", ""price"": 125.55, ""quantity"": 1}, {""product_id"": ""PRD-328"", ""category"": ""Books"", ""price"": 351.35, ""quantity"": 2}]",COD,USD,KT10,13.0,1525.35,Refunded,151,5.0
TXN-102399,2025-11-08T00:49:04.759254,"{""name"": ""James Webb"", ""email"": ""walkernicholas@example.org"", ""phone"": ""(322)352-3799x014""}",36,Peckshire,,"[{""product_id"": ""PRD-405"", ""category"": ""Sports"", ""price"": 187.91, ""quantity"": 1}, {""product_id"": ""PRD-922"", ""category"": ""Home & Kitchen"", ""price"": 61.31, ""quantity"": 1}, {""product_id"": ""PRD-394"", ""category"": ""Sports"", ""price"": 160.19, ""quantity"": 1}]",COD,USD,hU10,6.84,424.2,Refunded,40,2.0
TXN-103638,2024-07-07T01:49:01.284934,"{""name"": ""Eric Smith"", ""email"": ""gonzalezjoshua@example.org"", ""phone"": ""001-564-769-6331x4552""}",31,South Kelly,,"[{""product_id"": ""PRD-904"", ""category"": ""Books"", ""price"": 255.28, ""quantity"": 1}, {""product_id"": ""PRD-916"", ""category"": ""Clothing"", ""price"": 142.06, ""quantity"": 1}]",credit_card,USD,,14.54,414.02,Pending,39,3.0
TXN-104057,2025-07-27T16:31:51.969730,"{""name"": ""Sara Rojas"", ""email"": ""sotojames@example.com"", ""phone"": ""+1-912-744-9616x4742""}",51,Randymouth,Desktop,"[{""product_id"": ""PRD-940"", ""category"": ""Electronics"", ""price"": 438.76, ""quantity"": 2}, {""product_id"": ""PRD-802"", ""category"": ""Sports"", ""price"": 122.02, ""quantity"": 2}]",Credit Card,USD,,-10.0,1137.34,Refunded,112,3.0
TXN-104732,2024-09-13T06:04:08.623062,"{""name"": ""Russell Pham"", ""email"": ""villarrealmichael@example.org"", ""phone"": ""470.948.6588x219""}",31,Jonesport,Mobile,"[{""product_id"": ""PRD-628"", ""category"": ""Electronics"", ""price"": 241.92, ""quantity"": 1}]",CREDITCARD,USD,,8.58,256.92,Failed,24,5.0
